TIME: 5.567654, ROLL: 0.013935, PITCH: 0.023461, YAW: -0.000812, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.620391, ROLL: 0.013979, PITCH: 0.023379, YAW: -0.000821, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.672618, ROLL: 0.013979, PITCH: 0.023379, YAW: -0.000821, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.725380, ROLL: 0.013979, PITCH: 0.023379, YAW: -0.000821, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.777748, ROLL: 0.013979, PITCH: 0.023379, YAW: -0.000821, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.830479, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.883068, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.935829, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 5.988490, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.041349, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.094049, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.146724, ROLL: 0.013863, PITCH: 0.023318, YAW: -0.000788, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.199648, ROLL: 0.014009, PITCH: 0.023319, YAW: -0.000811, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.252472, ROLL: 0.014003, PITCH: 0.023261, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.305140, ROLL: 0.014003, PITCH: 0.023261, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.357910, ROLL: 0.014003, PITCH: 0.023261, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.410617, ROLL: 0.014003, PITCH: 0.023261, YAW: -0.000830, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.463327, ROLL: 0.014081, PITCH: 0.023222, YAW: -0.000884, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.516154, ROLL: 0.014081, PITCH: 0.023222, YAW: -0.000884, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.568818, ROLL: 0.014081, PITCH: 0.023222, YAW: -0.000884, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
TIME: 6.621554, ROLL: 0.014081, PITCH: 0.023222, YAW: -0.000884, X: 0.000000, Y: 0.000000, ALTITUDE: -0.000000, VX: 0.000000, VY: 0.000000, VZ: 0.000000 
